#Dirchilet BC  (from F:\ogs\ogs_kb1\examples\boxes\2D_xz_advection_tri\OGS_FEM\testCase_HEAT_TRANSPORT_BC_ST.asc.bc file) 
#Total BC nodes  11
#Node index, name, x, y, z,   value: 
0  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 0.000000000000e+000 1.000000000000e+000
11  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 1.000000000000e+001 1.000000000000e+000
22  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 2.000000000000e+001 1.000000000000e+000
33  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 3.000000000000e+001 1.000000000000e+000
44  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 4.000000000000e+001 1.000000000000e+000
55  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 5.000000000000e+001 1.000000000000e+000
66  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 6.000000000000e+001 1.000000000000e+000
77  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 7.000000000000e+001 1.000000000000e+000
88  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 8.000000000000e+001 1.000000000000e+000
99  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 9.000000000000e+001 1.000000000000e+000
110  TEMPERATURE1 0.000000000000e+000 0.000000000000e+000 1.000000000000e+002 1.000000000000e+000
#STOP
