TIME                   CONTENT
1.000000000000e+006    1.224457605200e+009
2.000000000000e+006    1.242815150302e+009
3.000000000000e+006    1.261047436907e+009
4.000000000000e+006    1.279156397626e+009
5.000000000000e+006    1.297143923839e+009
6.000000000000e+006    1.315011866722e+009
7.000000000000e+006    1.332762038354e+009
8.000000000000e+006    1.350396212787e+009
9.000000000000e+006    1.367916127082e+009
1.000000000000e+007    1.385323482300e+009
2.000000000000e+007    1.549557058981e+009
3.000000000000e+007    1.705138283079e+009
4.000000000000e+007    1.853070165729e+009
5.000000000000e+007    1.994205113174e+009
6.000000000000e+007    2.129271687610e+009
7.000000000000e+007    2.258895882163e+009
8.000000000000e+007    2.383618192649e+009
9.000000000000e+007    2.503907432115e+009
1.000000000000e+008    2.620171994445e+009
1.100000000000e+008    2.732769100574e+009
2.100000000000e+008    3.652376577727e+009
3.100000000000e+008    4.444328329298e+009
4.100000000000e+008    5.150738324695e+009
5.100000000000e+008    5.796013358497e+009
6.100000000000e+008    6.395328632401e+009
7.100000000000e+008    6.958700348459e+009
8.100000000000e+008    7.493075907228e+009
9.100000000000e+008    8.003474526616e+009
1.010000000000e+009    8.493645156585e+009
1.110000000000e+009    8.966465090924e+009
2.110000000000e+009    1.283623007342e+010
3.110000000000e+009    1.616273256044e+010
4.110000000000e+009    1.908040593560e+010
5.110000000000e+009    2.165983689485e+010
6.110000000000e+009    2.394697104422e+010
7.110000000000e+009    2.597693375527e+010
8.110000000000e+009    2.777908601995e+010
9.110000000000e+009    2.937897827431e+010
1.011000000000e+010    3.079919693290e+010
1.111000000000e+010    3.205981320404e+010
2.111000000000e+010    3.761831118122e+010
3.111000000000e+010    4.006861751317e+010
4.111000000000e+010    4.114868577287e+010
5.111000000000e+010    4.162475885618e+010
6.111000000000e+010    4.183460173174e+010
7.111000000000e+010    4.192709596254e+010
8.111000000000e+010    4.196786544407e+010
9.111000000000e+010    4.198583576618e+010
1.011100000000e+011    4.199375670427e+010
1.111100000000e+011    4.199724808672e+010
2.111100000000e+011    4.199979894123e+010
3.111100000000e+011    4.199998531036e+010
4.111100000000e+011    4.199999892676e+010
5.111100000000e+011    4.199999992160e+010
6.111100000000e+011    4.199999999428e+010
7.111100000000e+011    4.199999999959e+010
8.111100000000e+011    4.199999999998e+010
9.111100000000e+011    4.200000000001e+010
1.011110000000e+012    4.200000000001e+010
1.111110000000e+012    4.200000000001e+010
