TIME                   CONTENT
1.000000000000e+006    -1.155075884424e+006
2.000000000000e+006    -1.018627832687e+006
3.000000000000e+006    -8.895505381777e+005
4.000000000000e+006    -7.676014738744e+005
5.000000000000e+006    -6.525431967425e+005
6.000000000000e+006    -5.441433553264e+005
7.000000000000e+006    -4.421746506177e+005
8.000000000000e+006    -3.464147936120e+005
9.000000000000e+006    -2.566464599740e+005
1.000000000000e+007    -1.726572420476e+005
2.000000000000e+007    2.585278765311e+005
3.000000000000e+007    4.132387702153e+005
4.000000000000e+007    3.927217263192e+005
5.000000000000e+007    2.727046814614e+005
6.000000000000e+007    1.082295634993e+005
7.000000000000e+007    -6.217864488306e+004
8.000000000000e+007    -2.129809450925e+005
9.000000000000e+007    -3.286784654988e+005
1.000000000000e+008    -4.013863376616e+005
1.100000000000e+008    -4.288589065272e+005
2.100000000000e+008    4.634502383823e+004
3.100000000000e+008    4.106321796644e+005
4.100000000000e+008    2.222962621421e+006
5.100000000000e+008    7.917236639567e+006
6.100000000000e+008    1.982628914174e+007
7.100000000000e+008    3.977296030945e+007
8.100000000000e+008    6.898795205787e+007
9.100000000000e+008    1.081733004808e+008
1.010000000000e+009    1.576118189871e+008
1.110000000000e+009    2.172767030936e+008
2.110000000000e+009    1.427640640104e+009
3.110000000000e+009    2.934340489752e+009
4.110000000000e+009    4.539369896654e+009
5.110000000000e+009    6.128642823413e+009
6.110000000000e+009    7.640442423556e+009
7.110000000000e+009    9.044473183803e+009
8.110000000000e+009    1.032888025316e+010
9.110000000000e+009    1.149236881270e+010
1.011000000000e+010    1.253945953513e+010
1.111000000000e+010    1.347765336245e+010
2.111000000000e+010    1.767456501540e+010
3.111000000000e+010    1.953290305250e+010
4.111000000000e+010    2.035316063800e+010
5.111000000000e+010    2.071486464004e+010
6.111000000000e+010    2.087431568910e+010
7.111000000000e+010    2.094460072868e+010
8.111000000000e+010    2.097558114990e+010
9.111000000000e+010    2.098923668680e+010
1.011100000000e+011    2.099525575927e+010
1.111100000000e+011    2.099790883889e+010
2.111100000000e+011    2.099984721676e+010
3.111100000000e+011    2.099998883744e+010
4.111100000000e+011    2.099999918445e+010
5.111100000000e+011    2.099999994042e+010
6.111100000000e+011    2.099999999565e+010
7.111100000000e+011    2.099999999969e+010
8.111100000000e+011    2.099999999998e+010
9.111100000000e+011    2.100000000000e+010
1.011110000000e+012    2.100000000000e+010
1.111110000000e+012    2.100000000000e+010
