TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    1.271151212069e+001         1.973380669121e+000
2.000000000000e+006    1.264019123250e+001         1.974393966845e+000
3.000000000000e+006    1.256978994991e+001         1.974397287848e+000
4.000000000000e+006    1.250029111709e+001         1.974397301008e+000
5.000000000000e+006    1.243167799509e+001         1.974397300961e+000
6.000000000000e+006    1.236393425201e+001         1.974397300961e+000
7.000000000000e+006    1.229704395036e+001         1.974397300961e+000
8.000000000000e+006    1.223099153500e+001         1.974397300961e+000
9.000000000000e+006    1.216576182151e+001         1.974397300961e+000
1.000000000000e+007    1.210133998493e+001         1.974397300961e+000
2.000000000000e+007    1.152585926191e+001         1.974397300961e+000
3.000000000000e+007    1.100923387411e+001         1.974397300961e+000
4.000000000000e+007    1.054329393779e+001         1.974397300961e+000
5.000000000000e+007    1.012123627048e+001         1.974397300961e+000
6.000000000000e+007    9.737358719631e+000         1.974397300961e+000
7.000000000000e+007    9.386853675513e+000         1.974397300961e+000
8.000000000000e+007    9.065645873127e+000         1.974397300961e+000
9.000000000000e+007    8.770263732078e+000         1.974397300961e+000
1.000000000000e+008    8.497736384901e+000         1.974397300961e+000
1.100000000000e+008    8.245510595836e+000         1.974397300961e+000
2.100000000000e+008    6.706683059400e+000         1.974397300961e+000
3.100000000000e+008    5.687573703969e+000         1.974397300961e+000
4.100000000000e+008    4.966231678180e+000         1.974397300961e+000
5.100000000000e+008    4.428146378134e+000         1.974397300961e+000
6.100000000000e+008    4.009950604116e+000         1.974397300961e+000
7.100000000000e+008    3.674293539207e+000         1.974397300961e+000
8.100000000000e+008    3.397907396299e+000         1.974397300961e+000
9.100000000000e+008    3.165591027191e+000         1.974397300961e+000
1.010000000000e+009    2.967002037229e+000         1.974397300961e+000
1.110000000000e+009    2.794856506207e+000         1.974397300961e+000
2.110000000000e+009    1.959024214260e+000         1.974397300961e+000
3.110000000000e+009    1.484291358835e+000         1.974397300961e+000
4.110000000000e+009    1.182107236320e+000         1.974397300961e+000
5.110000000000e+009    9.731180489206e-001         1.974397300961e+000
6.110000000000e+009    8.193808744679e-001         1.974397300961e+000
7.110000000000e+009    7.008544836205e-001         1.974397300961e+000
8.110000000000e+009    6.061177907579e-001         1.974397300961e+000
9.110000000000e+009    5.282706643215e-001         1.974397300961e+000
1.011000000000e+010    4.629436151506e-001         1.974397300961e+000
1.111000000000e+010    4.072544666670e-001         1.974397300961e+000
2.111000000000e+010    1.771365456534e-001         1.974397300961e+000
3.111000000000e+010    7.776783975909e-002         1.974397300961e+000
4.111000000000e+010    3.423966352227e-002         1.974397300961e+000
5.111000000000e+010    1.508769808115e-002         1.974397300961e+000
6.111000000000e+010    6.649935536062e-003         1.974397300961e+000
7.111000000000e+010    2.931141267727e-003         1.974397300961e+000
8.111000000000e+010    1.291993860232e-003         1.974397300961e+000
9.111000000000e+010    5.694870227050e-004         1.974397300961e+000
1.011100000000e+011    2.510188181029e-004         1.974397300961e+000
1.111100000000e+011    1.106440405041e-004         1.974397300961e+000
2.111100000000e+011    8.083825168009e-006         1.974397300961e+000
3.111100000000e+011    5.906162971539e-007         1.974397300961e+000
4.111100000000e+011    4.315127964440e-008         1.974397300961e+000
5.111100000000e+011    3.152750040203e-009         1.974397300961e+000
6.111100000000e+011    2.303459159525e-010         1.974397300961e+000
7.111100000000e+011    1.680541122928e-011         1.974397300961e+000
8.111100000000e+011    1.218550723288e-012         1.974397300961e+000
9.111100000000e+011    9.440365156266e-014         1.974397300961e+000
1.011110000000e+012    9.440365156266e-014         1.974397300961e+000
1.111110000000e+012    9.440365156266e-014         1.974397300961e+000
