TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    1.744626938795e-002         -1.875254597519e-003
2.000000000000e+006    1.567154371789e-002         -1.628821357091e-003
3.000000000000e+006    1.397958043416e-002         -1.391407696210e-003
4.000000000000e+006    1.236801144479e-002         -1.169604549091e-003
5.000000000000e+006    1.083451035885e-002         -9.627777887283e-004
6.000000000000e+006    9.376792982173e-003         -7.702886684282e-004
7.000000000000e+006    7.992617278217e-003         -5.915180184222e-004
8.000000000000e+006    6.679783283059e-003         -4.258659104169e-004
9.000000000000e+006    5.436132979474e-003         -2.727512383786e-004
1.000000000000e+007    4.259550132943e-003         -1.316113013601e-004
2.000000000000e+007    -2.534254829993e-003         4.981648536573e-004
3.000000000000e+007    -5.754264144698e-003         6.471131987894e-004
4.000000000000e+007    -6.509219664023e-003         5.273639432845e-004
5.000000000000e+007    -5.663549338032e-003         2.838078601666e-004
6.000000000000e+007    -3.878699816619e-003         1.118750600505e-005
7.000000000000e+007    -1.649754007735e-003         -2.324730751464e-004
8.000000000000e+007    6.628657701389e-004         -4.154591007442e-004
9.000000000000e+007    2.806422029030e-003         -5.244026753439e-004
1.000000000000e+008    4.613223636248e-003         -5.582737904130e-004
1.100000000000e+008    5.981844942017e-003         -5.239113190213e-004
2.100000000000e+008    1.699950067920e-003         1.101588139249e-004
3.100000000000e+008    6.531506031722e-003         3.855852485811e-004
4.100000000000e+008    3.158493973183e-002         1.923279983236e-003
5.100000000000e+008    7.709900645373e-002         6.349461125638e-003
6.100000000000e+008    1.385661722287e-001         1.460167195515e-002
7.100000000000e+008    2.103856194303e-001         2.694611304084e-002
8.100000000000e+008    2.875185942478e-001         4.319142596050e-002
9.100000000000e+008    3.660251285638e-001         6.289588258742e-002
1.010000000000e+009    4.430828556546e-001         8.551518413942e-002
1.110000000000e+009    5.168119445960e-001         1.104928950090e-001
2.110000000000e+009    8.753775083030e-001         3.859577537137e-001
3.110000000000e+009    1.008727501326e+000         6.295402689028e-001
4.110000000000e+009    1.025088196018e+000         8.332103901605e-001
5.110000000000e+009    9.840668825179e-001         1.002019154457e+000
6.110000000000e+009    9.168038738693e-001         1.142925964171e+000
7.110000000000e+009    8.394988463060e-001         1.261900400064e+000
8.110000000000e+009    7.605987256638e-001         1.363506018621e+000
9.110000000000e+009    6.844501620451e-001         1.451122443705e+000
1.011000000000e+010    6.131782101070e-001         1.527255447138e+000
1.111000000000e+010    5.476836234874e-001         1.593794069522e+000
2.111000000000e+010    2.438012925457e-001         1.879641780111e+000
3.111000000000e+010    1.077851401573e-001         2.004532142134e+000
4.111000000000e+010    4.755205524505e-002         2.059412984283e+000
5.111000000000e+010    2.096537867053e-002         2.083576857055e+000
6.111000000000e+010    9.241744310918e-003         2.094223455767e+000
7.111000000000e+010    4.073632537758e-003         2.098915511908e+000
8.111000000000e+010    1.795575535607e-003         2.100983538901e+000
9.111000000000e+010    7.914513592615e-004         2.101895056899e+000
1.011100000000e+011    3.488547886206e-004         2.102296830048e+000
1.111100000000e+011    1.537677548514e-004         2.102473922240e+000
2.111100000000e+011    1.123449025764e-005         2.102603307966e+000
3.111100000000e+011    8.208080399622e-007         2.102612761065e+000
4.111100000000e+011    5.996945393975e-008         2.102613451722e+000
5.111100000000e+011    4.381429224061e-009         2.102613502182e+000
6.111100000000e+011    3.201143285632e-010         2.102613505869e+000
7.111100000000e+011    2.336630888777e-011         2.102613506138e+000
8.111100000000e+011    1.715757165973e-012         2.102613506158e+000
9.111100000000e+011    1.411602316518e-013         2.102613506159e+000
1.011110000000e+012    1.411602316518e-013         2.102613506159e+000
1.111110000000e+012    1.411602316518e-013         2.102613506159e+000
