TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    -4.679429439352e-005         3.044926783032e-006
2.000000000000e+006    -3.469534998042e-005         2.214979387117e-006
3.000000000000e+006    -2.413731448891e-005         1.484190615341e-006
4.000000000000e+006    -1.498960510816e-005         8.577516387804e-007
5.000000000000e+006    -7.130050684598e-006         3.261076431298e-007
6.000000000000e+006    -4.444502672151e-007         -1.196827427115e-007
7.000000000000e+006    5.173854678574e-006         -4.879381585400e-007
8.000000000000e+006    9.824387945991e-006         -7.863895746580e-007
9.000000000000e+006    1.359992699724e-005         -1.022213753519e-006
1.000000000000e+007    1.658687294479e-005         -1.202065064988e-006
2.000000000000e+007    1.463437519373e-005         -9.018531779412e-007
3.000000000000e+007    4.383070966947e-006         -1.666695718001e-007
4.000000000000e+007    -4.060642163258e-006         3.498751572385e-007
5.000000000000e+007    -7.736962091832e-006         5.050869412160e-007
6.000000000000e+007    -7.073211527490e-006         3.776989153290e-007
7.000000000000e+007    -3.740964103418e-006         1.104729324635e-007
8.000000000000e+007    4.716685170178e-007         -1.665956178854e-007
9.000000000000e+007    4.172102339634e-006         -3.660655966066e-007
1.000000000000e+008    6.520647628281e-006         -4.472781780880e-007
1.100000000000e+008    7.199754901926e-006         -4.083084207897e-007
2.100000000000e+008    -3.677319493767e-007         5.792247348228e-008
3.100000000000e+008    -3.839569801311e-007         9.696137279833e-009
4.100000000000e+008    6.305717099889e-007         -1.796905093373e-008
5.100000000000e+008    5.627426344777e-006         1.382305117649e-007
6.100000000000e+008    2.962957443277e-005         1.407465245395e-006
7.100000000000e+008    1.081172180592e-004         7.178512759161e-006
8.100000000000e+008    3.052917062633e-004         2.598285196150e-005
9.100000000000e+008    7.121912957092e-004         7.470046784015e-005
1.010000000000e+009    1.434641274291e-003         1.811168724830e-004
1.110000000000e+009    2.576874359665e-003         3.849218317506e-004
2.110000000000e+009    4.313034090347e-002         4.583744582825e-002
3.110000000000e+009    8.486556439580e-002         1.380199892441e-001
4.110000000000e+009    1.146214105904e-001         2.644041763842e-001
5.110000000000e+009    1.306308963594e-001         4.096771656267e-001
6.110000000000e+009    1.356922477918e-001         5.613554834335e-001
7.110000000000e+009    1.333792226399e-001         7.109200081495e-001
8.110000000000e+009    1.266572886552e-001         8.532261832846e-001
9.110000000000e+009    1.176259380519e-001         9.855468492480e-001
1.011000000000e+010    1.076482790257e-001         1.106734831265e+000
1.111000000000e+010    9.755592674930e-002         1.216611338464e+000
2.111000000000e+010    4.439533613284e-002         1.716836988248e+000
3.111000000000e+010    1.975930437932e-002         1.939472616417e+000
4.111000000000e+010    8.735189287203e-003         2.037888366249e+000
5.111000000000e+010    3.853671621486e-003         2.081303707886e+000
6.111000000000e+010    1.699045548763e-003         2.100444468093e+000
7.111000000000e+010    7.489537683046e-004         2.108881725508e+000
8.111000000000e+010    3.301280233963e-004         2.112600711728e+000
9.111000000000e+010    1.455137377098e-004         2.114239957545e+000
1.011100000000e+011    6.413933409260e-005         2.114962500197e+000
1.111100000000e+011    2.827124023812e-005         2.115280981092e+000
2.111100000000e+011    2.065536048532e-006         2.115513667486e+000
3.111100000000e+011    1.509110058445e-007         2.115530667881e+000
4.111100000000e+011    1.102579313729e-008         2.115531909954e+000
5.111100000000e+011    8.055527541314e-010         2.115532000702e+000
6.111100000000e+011    5.885522393519e-011         2.115532007332e+000
7.111100000000e+011    4.285507134346e-012         2.115532007816e+000
8.111100000000e+011    3.035881731191e-013         2.115532007852e+000
9.111100000000e+011    4.318304972865e-014         2.115532007854e+000
1.011110000000e+012    4.318304972865e-014         2.115532007854e+000
1.111110000000e+012    4.318304972865e-014         2.115532007854e+000
