TIME                   CONTENT
1.000000000000e+006    4.276603844258e+002
2.000000000000e+006    5.450247395946e+002
3.000000000000e+006    6.462907301419e+002
4.000000000000e+006    7.359002817650e+002
5.000000000000e+006    8.167555879481e+002
6.000000000000e+006    8.908209407319e+002
7.000000000000e+006    9.594702659870e+002
8.000000000000e+006    1.023694225492e+003
9.000000000000e+006    1.084227268813e+003
1.000000000000e+007    1.141627749079e+003
2.000000000000e+007    1.572569297036e+003
3.000000000000e+007    1.924948835679e+003
4.000000000000e+007    2.228086417630e+003
5.000000000000e+007    2.497348081500e+003
6.000000000000e+007    2.741706669841e+003
7.000000000000e+007    2.966848570025e+003
8.000000000000e+007    3.176609563218e+003
9.000000000000e+007    3.373704920031e+003
1.000000000000e+008    3.560130588912e+003
1.100000000000e+008    3.737398162352e+003
2.100000000000e+008    5.045211336350e+003
3.100000000000e+008    6.057448797360e+003
4.100000000000e+008    6.856040273401e+003
5.100000000000e+008    7.490778812346e+003
6.100000000000e+008    7.996729256892e+003
7.100000000000e+008    8.400465915231e+003
8.100000000000e+008    8.722774098801e+003
9.100000000000e+008    8.980118434848e+003
1.010000000000e+009    9.185605637382e+003
1.110000000000e+009    9.349689265646e+003
2.110000000000e+009    9.815417278408e+003
3.110000000000e+009    9.947608420859e+003
4.110000000000e+009    9.985129280557e+003
5.110000000000e+009    9.995779125120e+003
6.110000000000e+009    9.998801955423e+003
7.110000000000e+009    9.999659949455e+003
8.110000000000e+009    9.999903480743e+003
9.110000000000e+009    9.999972604171e+003
1.011000000000e+010    9.999992224025e+003
1.111000000000e+010    9.999997792885e+003
2.111000000000e+010    9.999999915862e+003
3.111000000000e+010    9.999999996794e+003
4.111000000000e+010    9.999999999880e+003
5.111000000000e+010    9.999999999997e+003
6.111000000000e+010    9.999999999999e+003
7.111000000000e+010    9.999999999999e+003
8.111000000000e+010    9.999999999999e+003
9.111000000000e+010    9.999999999999e+003
1.011100000000e+011    9.999999999999e+003
1.111100000000e+011    9.999999999999e+003
2.111100000000e+011    9.999999999999e+003
3.111100000000e+011    9.999999999999e+003
4.111100000000e+011    9.999999999999e+003
5.111100000000e+011    9.999999999999e+003
6.111100000000e+011    9.999999999999e+003
7.111100000000e+011    9.999999999999e+003
8.111100000000e+011    9.999999999999e+003
9.111100000000e+011    9.999999999999e+003
1.011110000000e+012    9.999999999999e+003
1.111110000000e+012    9.999999999999e+003
