TIME                   CONTENT
1.000000000000e+006    4.276609159229e+002
2.000000000000e+006    5.450196439420e+002
3.000000000000e+006    6.463040170954e+002
4.000000000000e+006    7.359012395425e+002
5.000000000000e+006    8.167330528174e+002
6.000000000000e+006    8.907927866607e+002
7.000000000000e+006    9.594699578884e+002
8.000000000000e+006    1.023753148095e+003
9.000000000000e+006    1.084360050626e+003
1.000000000000e+007    1.141822493110e+003
2.000000000000e+007    1.556393162655e+003
3.000000000000e+007    1.872672772867e+003
4.000000000000e+007    2.122603668009e+003
5.000000000000e+007    2.325365634195e+003
6.000000000000e+007    2.493426408475e+003
7.000000000000e+007    2.635284545234e+003
8.000000000000e+007    2.756933320043e+003
9.000000000000e+007    2.862717031246e+003
1.000000000000e+008    2.955858983564e+003
1.100000000000e+008    3.038798816533e+003
2.100000000000e+008    3.514005681210e+003
3.100000000000e+008    3.837681932268e+003
4.100000000000e+008    4.079265476347e+003
5.100000000000e+008    4.267034921169e+003
6.100000000000e+008    4.415403024831e+003
7.100000000000e+008    4.533398136471e+003
8.100000000000e+008    4.627472937927e+003
9.100000000000e+008    4.702548780639e+003
1.010000000000e+009    4.762484731973e+003
1.110000000000e+009    4.810340695005e+003
2.110000000000e+009    4.946167766004e+003
3.110000000000e+009    4.984720379507e+003
4.110000000000e+009    4.995663063959e+003
5.110000000000e+009    4.998769012878e+003
6.110000000000e+009    4.999650599110e+003
7.110000000000e+009    4.999900826760e+003
8.110000000000e+009    4.999971850869e+003
9.110000000000e+009    4.999992010208e+003
1.011000000000e+010    4.999997732195e+003
1.111000000000e+010    4.999999356311e+003
2.111000000000e+010    4.999999975462e+003
3.111000000000e+010    4.999999999066e+003
4.111000000000e+010    4.999999999965e+003
5.111000000000e+010    5.000000000000e+003
6.111000000000e+010    5.000000000000e+003
7.111000000000e+010    5.000000000000e+003
8.111000000000e+010    5.000000000000e+003
9.111000000000e+010    5.000000000000e+003
1.011100000000e+011    5.000000000000e+003
1.111100000000e+011    5.000000000000e+003
2.111100000000e+011    5.000000000000e+003
3.111100000000e+011    5.000000000000e+003
4.111100000000e+011    5.000000000000e+003
5.111100000000e+011    5.000000000000e+003
6.111100000000e+011    5.000000000000e+003
7.111100000000e+011    5.000000000000e+003
8.111100000000e+011    5.000000000000e+003
9.111100000000e+011    5.000000000000e+003
1.011110000000e+012    5.000000000000e+003
1.111110000000e+012    5.000000000000e+003
