TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    1.082504737478e-004         4.698525402669e-007
2.000000000000e+006    9.444458455244e-005         4.700938016299e-007
3.000000000000e+006    8.431106551737e-005         4.700945923449e-007
4.000000000000e+006    7.660252345590e-005         4.700945954781e-007
5.000000000000e+006    7.055338139013e-005         4.700945954669e-007
6.000000000000e+006    6.567764836613e-005         4.700945954669e-007
7.000000000000e+006    6.165696187786e-005         4.700945954669e-007
8.000000000000e+006    5.827651760654e-005         4.700945954669e-007
9.000000000000e+006    5.538731140587e-005         4.700945954669e-007
1.000000000000e+007    5.288327949348e-005         4.700945954669e-007
2.000000000000e+007    4.066626957562e-005         4.700945954669e-007
3.000000000000e+007    3.365634462213e-005         4.700945954669e-007
4.000000000000e+007    2.913577871159e-005         4.700945954669e-007
5.000000000000e+007    2.596752888389e-005         4.700945954669e-007
6.000000000000e+007    2.360951692322e-005         4.700945954669e-007
7.000000000000e+007    2.177471886306e-005         4.700945954669e-007
8.000000000000e+007    2.029784578066e-005         4.700945954669e-007
9.000000000000e+007    1.907705340497e-005         4.700945954669e-007
1.000000000000e+008    1.804604072152e-005         4.700945954669e-007
1.100000000000e+008    1.715965156952e-005         4.700945954669e-007
2.100000000000e+008    1.265506755039e-005         4.700945954669e-007
3.100000000000e+008    9.792748584286e-006         4.700945954669e-007
4.100000000000e+008    7.725090901905e-006         4.700945954669e-007
5.100000000000e+008    6.139826957859e-006         4.700945954669e-007
6.100000000000e+008    4.893980939370e-006         4.700945954669e-007
7.100000000000e+008    3.905258224049e-006         4.700945954669e-007
8.100000000000e+008    3.117610422903e-006         4.700945954669e-007
9.100000000000e+008    2.489228200261e-006         4.700945954669e-007
1.010000000000e+009    1.987626211080e-006         4.700945954669e-007
1.110000000000e+009    1.587139577327e-006         4.700945954669e-007
2.110000000000e+009    4.504869291041e-007         4.700945954669e-007
3.110000000000e+009    1.278651473054e-007         4.700945954669e-007
4.110000000000e+009    3.629297811288e-008         4.700945954669e-007
5.110000000000e+009    1.030132514394e-008         4.700945954669e-007
6.110000000000e+009    2.923907257093e-009         4.700945954669e-007
7.110000000000e+009    8.299159141305e-010         4.700945954669e-007
8.110000000000e+009    2.355616521605e-010         4.700945954669e-007
9.110000000000e+009    6.686134208581e-011         4.700945954669e-007
1.011000000000e+010    1.897778724169e-011         4.700945954669e-007
1.111000000000e+010    5.386616143063e-012         4.700945954669e-007
2.111000000000e+010    2.053499597217e-013         4.700945954669e-007
3.111000000000e+010    7.828063197657e-015         4.700945954669e-007
4.111000000000e+010    2.981098007337e-016         4.700945954669e-007
5.111000000000e+010    1.157384373525e-017         4.700945954669e-007
6.111000000000e+010    6.526029716625e-018         4.700945954669e-007
7.111000000000e+010    6.526029716625e-018         4.700945954669e-007
8.111000000000e+010    6.526029716625e-018         4.700945954669e-007
9.111000000000e+010    6.526029716625e-018         4.700945954669e-007
1.011100000000e+011    6.526029716625e-018         4.700945954669e-007
1.111100000000e+011    6.526029716625e-018         4.700945954669e-007
2.111100000000e+011    6.526029716625e-018         4.700945954669e-007
3.111100000000e+011    6.526029716625e-018         4.700945954669e-007
4.111100000000e+011    6.526029716625e-018         4.700945954669e-007
5.111100000000e+011    6.526029716625e-018         4.700945954669e-007
6.111100000000e+011    6.526029716625e-018         4.700945954669e-007
7.111100000000e+011    6.526029716625e-018         4.700945954669e-007
8.111100000000e+011    6.526029716625e-018         4.700945954669e-007
9.111100000000e+011    6.526029716625e-018         4.700945954669e-007
1.011110000000e+012    6.526029716625e-018         4.700945954669e-007
1.111110000000e+012    6.526029716625e-018         4.700945954669e-007
