TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    9.891525550942e-010         -5.007584940009e-013
2.000000000000e+006    -7.261893799619e-009         5.211900752844e-012
3.000000000000e+006    1.163156241041e-008         -1.556453110176e-011
4.000000000000e+006    1.136519212765e-008         3.714013763638e-012
5.000000000000e+006    -8.749989950233e-009         2.772331589262e-011
6.000000000000e+006    -3.474509116291e-008         2.330009674032e-011
7.000000000000e+006    -5.136970657486e-008         -1.752909952279e-011
8.000000000000e+006    -4.691062633861e-008         -8.136647659283e-011
9.000000000000e+006    -1.416252697495e-008         -1.429660088032e-010
1.000000000000e+007    5.012159769303e-008         -1.734127751757e-010
2.000000000000e+007    1.944453443518e-006         7.875413091215e-009
3.000000000000e+007    3.913289195021e-006         2.164749321967e-008
4.000000000000e+007    5.552295419558e-006         3.809610313622e-008
5.000000000000e+007    6.801009962048e-006         5.524541002551e-008
6.000000000000e+007    7.710590236608e-006         7.204053421936e-008
7.000000000000e+007    8.353041261474e-006         8.799495097403e-008
8.000000000000e+007    8.792529424552e-006         1.029333501312e-007
9.000000000000e+007    9.079471810775e-006         1.168390522066e-007
1.000000000000e+008    9.251735645438e-006         1.297701087586e-007
1.100000000000e+008    9.337386034144e-006         1.418149083881e-007
2.100000000000e+008    8.201579779827e-006         2.217225674382e-007
3.100000000000e+008    6.771901392615e-006         2.802857134267e-007
4.100000000000e+008    5.474965097834e-006         3.254096413816e-007
5.100000000000e+008    4.392428655054e-006         3.609355361216e-007
6.100000000000e+008    3.513727540639e-006         3.891481026182e-007
7.100000000000e+008    2.807708207750e-006         4.116287459079e-007
8.100000000000e+008    2.242604057869e-006         4.295654240063e-007
9.100000000000e+008    1.790948393160e-006         4.438837847690e-007
1.010000000000e+009    1.430166683055e-006         4.553159429519e-007
1.110000000000e+009    1.142036378576e-006         4.644443544125e-007
2.110000000000e+009    3.241558225734e-007         4.903536264283e-007
3.110000000000e+009    9.200783916390e-008         4.977076354055e-007
4.110000000000e+009    2.611532327228e-008         4.997949813194e-007
5.110000000000e+009    7.412520665575e-009         5.003874493109e-007
6.110000000000e+009    2.103954863441e-009         5.005556142239e-007
7.110000000000e+009    5.971822882369e-010         5.006033458123e-007
8.110000000000e+009    1.695030112765e-010         5.006168938496e-007
9.110000000000e+009    4.811139136252e-011         5.006207392971e-007
1.011000000000e+010    1.365584007563e-011         5.006218307812e-007
1.111000000000e+010    3.876046061890e-012         5.006221405858e-007
2.111000000000e+010    1.477638053582e-013         5.006222586904e-007
3.111000000000e+010    5.633149965008e-015         5.006222631928e-007
4.111000000000e+010    2.148133522913e-016         5.006222633645e-007
5.111000000000e+010    8.210099267103e-018         5.006222633710e-007
6.111000000000e+010    4.753604917103e-018         5.006222633711e-007
7.111000000000e+010    4.753604917103e-018         5.006222633711e-007
8.111000000000e+010    4.753604917103e-018         5.006222633711e-007
9.111000000000e+010    4.753604917103e-018         5.006222633711e-007
1.011100000000e+011    4.753604917103e-018         5.006222633711e-007
1.111100000000e+011    4.753604917103e-018         5.006222633711e-007
2.111100000000e+011    4.753604917103e-018         5.006222633711e-007
3.111100000000e+011    4.753604917103e-018         5.006222633711e-007
4.111100000000e+011    4.753604917103e-018         5.006222633711e-007
5.111100000000e+011    4.753604917103e-018         5.006222633711e-007
6.111100000000e+011    4.753604917103e-018         5.006222633711e-007
7.111100000000e+011    4.753604917103e-018         5.006222633711e-007
8.111100000000e+011    4.753604917103e-018         5.006222633711e-007
9.111100000000e+011    4.753604917103e-018         5.006222633711e-007
1.011110000000e+012    4.753604917103e-018         5.006222633711e-007
1.111110000000e+012    4.753604917103e-018         5.006222633711e-007
