TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    8.581601826468e-016         -9.126120168129e-019
2.000000000000e+006    1.706504494743e-015         6.270802115461e-018
3.000000000000e+006    -1.330280675280e-013         4.962288204086e-017
4.000000000000e+006    8.013589043928e-013         -5.346665728324e-016
5.000000000000e+006    -1.520598396561e-012         1.530630621164e-015
6.000000000000e+006    -4.217983614739e-013         -7.270332643615e-016
7.000000000000e+006    2.780600318371e-012         -2.858001544892e-015
8.000000000000e+006    2.608770626824e-012         3.115396775662e-016
9.000000000000e+006    -2.404569077635e-012         5.869909109022e-015
1.000000000000e+007    -7.888734473130e-012         6.216799841635e-015
2.000000000000e+007    9.998341344413e-009         8.407711337359e-011
3.000000000000e+007    4.449990304200e-008         4.769060331369e-010
4.000000000000e+007    1.093751831778e-007         1.478543601375e-009
5.000000000000e+007    1.993357360575e-007         3.354454372448e-009
6.000000000000e+007    3.033823811238e-007         6.267574267399e-009
7.000000000000e+007    4.103667659800e-007         1.026719429604e-008
8.000000000000e+007    5.118180612805e-007         1.531147637874e-008
9.000000000000e+007    6.025225549898e-007         2.129974312238e-008
1.000000000000e+008    6.800036326063e-007         2.810132918323e-008
1.100000000000e+008    7.437021078624e-007         3.557656696610e-008
2.100000000000e+008    8.180486462379e-007         1.188869445286e-007
3.100000000000e+008    7.249715594591e-007         1.929936336874e-007
4.100000000000e+008    6.012893462883e-007         2.545380581261e-007
5.100000000000e+008    4.870514932810e-007         3.044141501764e-007
6.100000000000e+008    3.910437757840e-007         3.444661060367e-007
7.100000000000e+008    3.129077751183e-007         3.765174080403e-007
8.100000000000e+008    2.500630684552e-007         4.021321970829e-007
9.100000000000e+008    1.997418945763e-007         4.225926375695e-007
1.010000000000e+009    1.595169814206e-007         4.389327299910e-007
1.110000000000e+009    1.273835377759e-007         4.519812596923e-007
2.110000000000e+009    3.615714492192e-008         4.890188543707e-007
3.110000000000e+009    1.026280713213e-008         4.995315688644e-007
4.110000000000e+009    2.912975931094e-009         5.025154780959e-007
5.110000000000e+009    8.268132546133e-010         5.033624249194e-007
6.110000000000e+009    2.346810026609e-010         5.036028205938e-007
7.110000000000e+009    6.661138068596e-011         5.036710540153e-007
8.110000000000e+009    1.890683940797e-011         5.036904212515e-007
9.110000000000e+009    5.366479011633e-012         5.036959184086e-007
1.011000000000e+010    1.523210665701e-012         5.036974787105e-007
1.111000000000e+010    4.323451174617e-013         5.036979215835e-007
2.111000000000e+010    1.648199285387e-014         5.036980904168e-007
3.111000000000e+010    6.283434420921e-016         5.036980968531e-007
4.111000000000e+010    2.396335444891e-017         5.036980970985e-007
5.111000000000e+010    8.734910942702e-019         5.036980971078e-007
6.111000000000e+010    5.605469792040e-019         5.036980971080e-007
7.111000000000e+010    5.605469792040e-019         5.036980971080e-007
8.111000000000e+010    5.605469792040e-019         5.036980971080e-007
9.111000000000e+010    5.605469792040e-019         5.036980971080e-007
1.011100000000e+011    5.605469792040e-019         5.036980971080e-007
1.111100000000e+011    5.605469792040e-019         5.036980971080e-007
2.111100000000e+011    5.605469792040e-019         5.036980971080e-007
3.111100000000e+011    5.605469792040e-019         5.036980971080e-007
4.111100000000e+011    5.605469792040e-019         5.036980971080e-007
5.111100000000e+011    5.605469792040e-019         5.036980971080e-007
6.111100000000e+011    5.605469792040e-019         5.036980971080e-007
7.111100000000e+011    5.605469792040e-019         5.036980971080e-007
8.111100000000e+011    5.605469792040e-019         5.036980971080e-007
9.111100000000e+011    5.605469792040e-019         5.036980971080e-007
1.011110000000e+012    5.605469792040e-019         5.036980971080e-007
1.111110000000e+012    5.605469792040e-019         5.036980971080e-007
