TIME                   CONTENT
1.000000000000e+006    1.128758158929e+009
2.000000000000e+006    1.146300614807e+009
3.000000000000e+006    1.163736049131e+009
4.000000000000e+006    1.181065957269e+009
5.000000000000e+006    1.198291806082e+009
6.000000000000e+006    1.215415034473e+009
7.000000000000e+006    1.232437054062e+009
8.000000000000e+006    1.249359249847e+009
9.000000000000e+006    1.266182980844e+009
1.000000000000e+007    1.282909580706e+009
2.000000000000e+007    1.441590404749e+009
3.000000000000e+007    1.592645718944e+009
4.000000000000e+007    1.736896490399e+009
5.000000000000e+007    1.875048585005e+009
6.000000000000e+007    2.007711761912e+009
7.000000000000e+007    2.135415087089e+009
8.000000000000e+007    2.258619531599e+009
9.000000000000e+007    2.377728335584e+009
1.000000000000e+008    2.493095583819e+009
1.100000000000e+008    2.605033338694e+009
2.100000000000e+008    3.526217374814e+009
3.100000000000e+008    4.322332586336e+009
4.100000000000e+008    5.033472023422e+009
5.100000000000e+008    5.683327278364e+009
6.100000000000e+008    6.286847116902e+009
7.100000000000e+008    6.854004488170e+009
8.100000000000e+008    7.391769561982e+009
9.100000000000e+008    7.905204873725e+009
1.010000000000e+009    8.398105763427e+009
1.110000000000e+009    8.873392641468e+009
2.110000000000e+009    1.275768130393e+010
3.110000000000e+009    1.609443329586e+010
4.110000000000e+009    1.902026131669e+010
5.110000000000e+009    2.160660033480e+010
6.110000000000e+009    2.389975584158e+010
7.110000000000e+009    2.593502995429e+010
8.110000000000e+009    2.774188915916e+010
9.110000000000e+009    2.934595946848e+010
1.011000000000e+010    3.076988835893e+010
1.111000000000e+010    3.203379945814e+010
2.111000000000e+010    3.760684115582e+010
3.111000000000e+010    4.006356123215e+010
4.111000000000e+010    4.114645699491e+010
5.111000000000e+010    4.162377644713e+010
6.111000000000e+010    4.183416870502e+010
7.111000000000e+010    4.192690509326e+010
8.111000000000e+010    4.196778131288e+010
9.111000000000e+010    4.198579868291e+010
1.011100000000e+011    4.199374035875e+010
1.111100000000e+011    4.199724088196e+010
2.111100000000e+011    4.199979841484e+010
3.111100000000e+011    4.199998527190e+010
4.111100000000e+011    4.199999892395e+010
5.111100000000e+011    4.199999992139e+010
6.111100000000e+011    4.199999999426e+010
7.111100000000e+011    4.199999999959e+010
8.111100000000e+011    4.199999999998e+010
9.111100000000e+011    4.200000000001e+010
1.011110000000e+012    4.200000000001e+010
1.111110000000e+012    4.200000000001e+010
