TIME                   CONTENT
1.000000000000e+006    1.128758158929e+009
2.000000000000e+006    1.146253934820e+009
3.000000000000e+006    1.163646934087e+009
4.000000000000e+006    1.180938473792e+009
5.000000000000e+006    1.198129847089e+009
6.000000000000e+006    1.215222323703e+009
7.000000000000e+006    1.232217150547e+009
8.000000000000e+006    1.249115552307e+009
9.000000000000e+006    1.265918732015e+009
1.000000000000e+007    1.282627871599e+009
2.000000000000e+007    1.441327228350e+009
3.000000000000e+007    1.592507724476e+009
4.000000000000e+007    1.736927746985e+009
5.000000000000e+007    1.875249668402e+009
6.000000000000e+007    2.008054754524e+009
7.000000000000e+007    2.135855166680e+009
8.000000000000e+007    2.259103750275e+009
9.000000000000e+007    2.378202112134e+009
1.000000000000e+008    2.493507356205e+009
1.100000000000e+008    2.605337752990e+009
2.100000000000e+008    3.526105649107e+009
3.100000000000e+008    4.323073684750e+009
4.100000000000e+008    5.034321040993e+009
5.100000000000e+008    5.680759460120e+009
6.100000000000e+008    6.274786146163e+009
7.100000000000e+008    6.824422597411e+009
8.100000000000e+008    7.335335489027e+009
9.100000000000e+008    7.811845490658e+009
1.010000000000e+009    8.257444515863e+009
1.110000000000e+009    8.675070405783e+009
2.110000000000e+009    1.135938300441e+010
3.110000000000e+009    1.319386794339e+010
4.110000000000e+009    1.451562845593e+010
5.110000000000e+009    1.551171961614e+010
6.110000000000e+009    1.629108590154e+010
7.110000000000e+009    1.691987111048e+010
8.110000000000e+009    1.743971464929e+010
9.110000000000e+009    1.787771762442e+010
1.011000000000e+010    1.825210422522e+010
1.111000000000e+010    1.857554503703e+010
2.111000000000e+010    1.994094060727e+010
3.111000000000e+010    2.053449321027e+010
4.111000000000e+010    2.079498898336e+010
5.111000000000e+010    2.090965819243e+010
6.111000000000e+010    2.096018205038e+010
7.111000000000e+010    2.098244940213e+010
8.111000000000e+010    2.099226409333e+010
9.111000000000e+010    2.099659017538e+010
1.011100000000e+011    2.099849702032e+010
1.111100000000e+011    2.099933751792e+010
2.111100000000e+011    2.099995159809e+010
3.111100000000e+011    2.099999646369e+010
4.111100000000e+011    2.099999974164e+010
5.111100000000e+011    2.099999998113e+010
6.111100000000e+011    2.099999999862e+010
7.111100000000e+011    2.099999999990e+010
8.111100000000e+011    2.100000000000e+010
9.111100000000e+011    2.100000000000e+010
1.011110000000e+012    2.100000000000e+010
1.111110000000e+012    2.100000000000e+010
