TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    1.238116343564e+001         1.973380669056e+000
2.000000000000e+006    1.231778500698e+001         1.974393966945e+000
3.000000000000e+006    1.225514996023e+001         1.974397287951e+000
4.000000000000e+006    1.219324577687e+001         1.974397300925e+000
5.000000000000e+006    1.213206020500e+001         1.974397300926e+000
6.000000000000e+006    1.207158125688e+001         1.974397300926e+000
7.000000000000e+006    1.201179720177e+001         1.974397300926e+000
8.000000000000e+006    1.195269655895e+001         1.974397300926e+000
9.000000000000e+006    1.189426809111e+001         1.974397300926e+000
1.000000000000e+007    1.183650079779e+001         1.974397300926e+000
2.000000000000e+007    1.131582526007e+001         1.974397300926e+000
3.000000000000e+007    1.084453439498e+001         1.974397300926e+000
4.000000000000e+007    1.041623455029e+001         1.974397300926e+000
5.000000000000e+007    1.002552592887e+001         1.974397300926e+000
6.000000000000e+007    9.667824825877e+000         1.974397300926e+000
7.000000000000e+007    9.339222002654e+000         1.974397300926e+000
8.000000000000e+007    9.036368890202e+000         1.974397300926e+000
9.000000000000e+007    8.756385451768e+000         1.974397300926e+000
1.000000000000e+008    8.496785067574e+000         1.974397300926e+000
1.100000000000e+008    8.255412917726e+000         1.974397300926e+000
2.100000000000e+008    6.751550605775e+000         1.974397300926e+000
3.100000000000e+008    5.740844710711e+000         1.974397300926e+000
4.100000000000e+008    5.018464266426e+000         1.974397300926e+000
5.100000000000e+008    4.476281681937e+000         1.974397300926e+000
6.100000000000e+008    4.053319423608e+000         1.974397300926e+000
7.100000000000e+008    3.713091246022e+000         1.974397300926e+000
8.100000000000e+008    3.432603432611e+000         1.974397300926e+000
9.100000000000e+008    3.196702309388e+000         1.974397300926e+000
1.010000000000e+009    2.995010757591e+000         1.974397300926e+000
1.110000000000e+009    2.820185456574e+000         1.974397300926e+000
2.110000000000e+009    1.972978992363e+000         1.974397300926e+000
3.110000000000e+009    1.492842937843e+000         1.974397300926e+000
4.110000000000e+009    1.187809061460e+000         1.974397300926e+000
5.110000000000e+009    9.771788835666e-001         1.974397300926e+000
6.110000000000e+009    8.224266918770e-001         1.974397300926e+000
7.110000000000e+009    7.032342530258e-001         1.974397300926e+000
8.110000000000e+009    6.080378233079e-001         1.974397300926e+000
9.110000000000e+009    5.298588618171e-001         1.974397300926e+000
1.011000000000e+010    4.642825517408e-001         1.974397300926e+000
1.111000000000e+010    4.083994752968e-001         1.974397300926e+000
2.111000000000e+010    1.776115291031e-001         1.974397300926e+000
3.111000000000e+010    7.797306356270e-002         1.974397300926e+000
4.111000000000e+010    3.432954403192e-002         1.974397300926e+000
5.111000000000e+010    1.512723478669e-002         1.974397300926e+000
6.111000000000e+010    6.667351203049e-003         1.974397300926e+000
7.111000000000e+010    2.938816151408e-003         1.974397300926e+000
8.111000000000e+010    1.295376567496e-003         1.974397300926e+000
9.111000000000e+010    5.709780182270e-004         1.974397300926e+000
1.011100000000e+011    2.516760132916e-004         1.974397300926e+000
1.111100000000e+011    1.109337177165e-004         1.974397300926e+000
2.111100000000e+011    8.104989403131e-006         1.974397300926e+000
3.111100000000e+011    5.921625939713e-007         1.974397300926e+000
4.111100000000e+011    4.326426973622e-008         1.974397300926e+000
5.111100000000e+011    3.160944272533e-009         1.974397300926e+000
6.111100000000e+011    2.309713994138e-010         1.974397300926e+000
7.111100000000e+011    1.689111813382e-011         1.974397300926e+000
8.111100000000e+011    1.249764181033e-012         1.974397300926e+000
9.111100000000e+011    8.474702421305e-014         1.974397300926e+000
1.011110000000e+012    7.813194535800e-014         1.974397300926e+000
1.111110000000e+012    7.813194535800e-014         1.974397300926e+000
