TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    0.000000000000e+000         0.000000000000e+000
2.000000000000e+006    -7.019185468682e-004         7.740809028351e-005
3.000000000000e+006    -1.351307961019e-003         1.465239156193e-004
4.000000000000e+006    -1.950025688946e-003         2.077789683063e-004
5.000000000000e+006    -2.499887891206e-003         2.615940690829e-004
6.000000000000e+006    -3.002669763861e-003         3.083740091208e-004
7.000000000000e+006    -3.460106013645e-003         3.485090592392e-004
8.000000000000e+006    -3.873891347689e-003         3.823753604670e-004
9.000000000000e+006    -4.245680975836e-003         4.103352998010e-004
1.000000000000e+007    -4.577091124161e-003         4.327378797550e-004
2.000000000000e+007    -5.133848186164e-003         3.468851152425e-004
3.000000000000e+007    -3.930583651012e-003         1.188031031942e-004
4.000000000000e+007    -1.729327973407e-003         -1.421706404746e-004
5.000000000000e+007    9.006382503596e-004         -3.693762670235e-004
6.000000000000e+007    3.545952613419e-003         -5.267149850974e-004
7.000000000000e+007    5.917844525279e-003         -5.993824809759e-004
8.000000000000e+007    7.825862238127e-003         -5.868775069896e-004
9.000000000000e+007    9.156092972799e-003         -4.978038997193e-004
1.000000000000e+008    9.853289811164e-003         -3.460702972495e-004
1.100000000000e+008    9.906339909939e-003         -1.481674371942e-004
2.100000000000e+008    -6.095178884328e-003         1.958407330285e-004
3.100000000000e+008    -8.337875107132e-003         -6.093384707227e-004
4.100000000000e+008    1.329706249355e-002         -2.879121268714e-004
5.100000000000e+008    5.768416406994e-002         3.051593909905e-003
6.100000000000e+008    1.193303040088e-001         1.041919462552e-002
7.100000000000e+008    1.920266613885e-001         2.207687255530e-002
8.100000000000e+008    2.703810989613e-001         3.780517795105e-002
9.100000000000e+008    3.502531111186e-001         5.713104316067e-002
1.010000000000e+009    4.287077967956e-001         7.948233081715e-002
1.110000000000e+009    5.038029713247e-001         1.042796906383e-001
2.110000000000e+009    8.698990372173e-001         3.802079114873e-001
3.110000000000e+009    1.007078186053e+000         6.246840106684e-001
4.110000000000e+009    1.025334476695e+000         8.291891174332e-001
5.110000000000e+009    9.852216510096e-001         9.986776432451e-001
6.110000000000e+009    9.183578962281e-001         1.140118988153e+000
7.110000000000e+009    8.411855303780e-001         1.259514080405e+000
8.110000000000e+009    7.622781266172e-001         1.361455625495e+000
9.110000000000e+009    6.860505133965e-001         1.449345477951e+000
1.011000000000e+010    6.146653401516e-001         1.525705264262e+000
1.111000000000e+010    5.490443324896e-001         1.592435096901e+000
2.111000000000e+010    2.444292602969e-001         1.879054450794e+000
3.111000000000e+010    1.080658614504e-001         2.004274898625e+000
4.111000000000e+010    4.767633938842e-002         2.059299826390e+000
5.111000000000e+010    2.102023709363e-002         2.083527011572e+000
6.111000000000e+010    9.265935454522e-003         2.094201489398e+000
7.111000000000e+010    4.084296981098e-003         2.098905830190e+000
8.111000000000e+010    1.800276406900e-003         2.100979271455e+000
9.111000000000e+010    7.935234336050e-004         2.101893175875e+000
1.011100000000e+011    3.497681194712e-004         2.102296000897e+000
1.111100000000e+011    1.541703324448e-004         2.102473556731e+000
2.111100000000e+011    1.126390314313e-005         2.102603281201e+000
3.111100000000e+011    8.229569695845e-007         2.102612759048e+000
4.111100000000e+011    6.012643068617e-008         2.102613451514e+000
5.111100000000e+011    4.392932106042e-009         2.102613502106e+000
6.111100000000e+011    3.209387385480e-010         2.102613505802e+000
7.111100000000e+011    2.343678492019e-011         2.102613506072e+000
8.111100000000e+011    1.735694921123e-012         2.102613506092e+000
9.111100000000e+011    1.362798762727e-013         2.102613506094e+000
1.011110000000e+012    1.306131129179e-013         2.102613506094e+000
1.111110000000e+012    1.306131129179e-013         2.102613506094e+000
