TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    0.000000000000e+000         0.000000000000e+000
2.000000000000e+006    1.976775962614e-006         -1.299465843740e-007
3.000000000000e+006    3.500547664934e-006         -2.278520502725e-007
4.000000000000e+006    4.622914143258e-006         -2.976150460538e-007
5.000000000000e+006    5.391514415456e-006         -3.428266908657e-007
6.000000000000e+006    5.850262388927e-006         -3.667769459067e-007
7.000000000000e+006    6.039570126241e-006         -3.724760730638e-007
8.000000000000e+006    5.996559855762e-006         -3.626724888293e-007
9.000000000000e+006    5.755265239949e-006         -3.398696595742e-007
1.000000000000e+007    5.346822390717e-006         -3.063420993731e-007
2.000000000000e+007    -1.080079212871e-006         1.118784289237e-007
3.000000000000e+007    -4.615267473513e-006         2.952864913459e-007
4.000000000000e+007    -4.551063118819e-006         2.377840485709e-007
5.000000000000e+007    -2.041665873434e-006         4.508915483616e-008
6.000000000000e+007    1.332574939698e-006         -1.665397297181e-007
7.000000000000e+007    4.249879131218e-006         -3.134109621742e-007
8.000000000000e+007    5.893819755240e-006         -3.552553362498e-007
9.000000000000e+007    5.962911537801e-006         -2.899921731358e-007
1.000000000000e+008    4.567898705916e-006         -1.420841373190e-007
1.100000000000e+008    2.091115264031e-006         5.007203473783e-008
2.100000000000e+008    -1.852529182342e-006         9.981468862808e-008
3.100000000000e+008    -2.441287162328e-007         -3.090208942808e-008
4.100000000000e+008    -2.263973794628e-006         -1.406415650247e-007
5.100000000000e+008    -7.759901473614e-006         -6.792509899609e-007
6.100000000000e+008    -1.125770410994e-005         -1.950613932690e-006
7.100000000000e+008    1.349890723520e-005         -2.880003841075e-006
8.100000000000e+008    1.272216445934e-004         1.945737083742e-006
9.100000000000e+008    4.239023581988e-004         2.616808180582e-005
1.010000000000e+009    1.016736876222e-003         9.485713206206e-005
1.110000000000e+009    2.019153522255e-003         2.458984645302e-004
2.110000000000e+009    4.211837710836e-002         4.459100506129e-002
3.110000000000e+009    8.400045836377e-002         1.357877331269e-001
4.110000000000e+009    1.140750627219e-001         2.615320222187e-001
5.110000000000e+009    1.303765561535e-001         4.064953324495e-001
6.110000000000e+009    1.356489999077e-001         5.581071931540e-001
7.110000000000e+009    1.334699601993e-001         7.077615794736e-001
8.110000000000e+009    1.268241487149e-001         8.502475343861e-001
9.110000000000e+009    1.178299647343e-001         9.827927591882e-001
1.011000000000e+010    1.078649443178e-001         1.104221468944e+000
1.111000000000e+010    9.777061793879e-002         1.214337725633e+000
2.111000000000e+010    4.450578455873e-002         1.715804619066e+000
3.111000000000e+010    1.981021393587e-002         1.939013334873e+000
4.111000000000e+010    8.757941304277e-003         2.037685331941e+000
5.111000000000e+010    3.863743931879e-003         2.081214131839e+000
6.111000000000e+010    1.703491324530e-003         2.100404973378e+000
7.111000000000e+010    7.509142275792e-004         2.108864315560e+000
8.111000000000e+010    3.309922720917e-004         2.112593037675e+000
9.111000000000e+010    1.458946970335e-004         2.114236575063e+000
1.011100000000e+011    6.430725527571e-005         2.114961009376e+000
1.111100000000e+011    2.834525668137e-005         2.115280324080e+000
2.111100000000e+011    2.070943833423e-006         2.115513619668e+000
3.111100000000e+011    1.513061110084e-007         2.115530664571e+000
4.111100000000e+011    1.105463661583e-008         2.115531909896e+000
5.111100000000e+011    8.076701923006e-010         2.115532000881e+000
6.111100000000e+011    5.900304550499e-011         2.115532007529e+000
7.111100000000e+011    4.305317676441e-012         2.115532008015e+000
8.111100000000e+011    2.930641840315e-013         2.115532008050e+000
9.111100000000e+011    4.145989107585e-014         2.115532008053e+000
1.011110000000e+012    3.608224830032e-014         2.115532008053e+000
1.111110000000e+012    3.608224830032e-014         2.115532008053e+000
