#Dirchilet BC  (from F:\ogs\ogs_kb1\examples\boxes\2D_xz_advection_tri\OGS_FEM_SP\testCase_LIQUID_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  11
#Node index, name, x, y, z,   value: 
10  PRESSURE1 1.000000000000e+002 0.000000000000e+000 0.000000000000e+000 0.000000000000e+000
21  PRESSURE1 1.000000000000e+002 0.000000000000e+000 1.000000000000e+001 -9.810000000000e+004
32  PRESSURE1 1.000000000000e+002 0.000000000000e+000 2.000000000000e+001 -1.962000000000e+005
43  PRESSURE1 1.000000000000e+002 0.000000000000e+000 3.000000000000e+001 -2.943000000000e+005
54  PRESSURE1 1.000000000000e+002 0.000000000000e+000 4.000000000000e+001 -3.924000000000e+005
65  PRESSURE1 1.000000000000e+002 0.000000000000e+000 5.000000000000e+001 -4.905000000000e+005
76  PRESSURE1 1.000000000000e+002 0.000000000000e+000 6.000000000000e+001 -5.886000000000e+005
87  PRESSURE1 1.000000000000e+002 0.000000000000e+000 7.000000000000e+001 -6.867000000000e+005
98  PRESSURE1 1.000000000000e+002 0.000000000000e+000 8.000000000000e+001 -7.848000000000e+005
109  PRESSURE1 1.000000000000e+002 0.000000000000e+000 9.000000000000e+001 -8.829000000000e+005
120  PRESSURE1 1.000000000000e+002 0.000000000000e+000 1.000000000000e+002 -9.810000000000e+005
#Source term or Neumann BC  (from F:\ogs\ogs_kb1\examples\boxes\2D_xz_advection_tri\OGS_FEM_SP\testCase_LIQUID_FLOW_BC_ST.asc.st file) 
#Total ST nodes  6
#Node index, x, y, z, name    value: 
0  PRESSURE1 0.000000000000e+000 0.000000000000e+000 0.000000000000e+000 5.000000000000e-008
11  PRESSURE1 0.000000000000e+000 0.000000000000e+000 1.000000000000e+001 1.000000000000e-007
22  PRESSURE1 0.000000000000e+000 0.000000000000e+000 2.000000000000e+001 1.000000000000e-007
33  PRESSURE1 0.000000000000e+000 0.000000000000e+000 3.000000000000e+001 1.000000000000e-007
44  PRESSURE1 0.000000000000e+000 0.000000000000e+000 4.000000000000e+001 1.000000000000e-007
55  PRESSURE1 0.000000000000e+000 0.000000000000e+000 5.000000000000e+001 5.000000000000e-008
#STOP
