TIME                   CONTENT
1.000000000000e+006    4.240144366200e+002
2.000000000000e+006    5.412120724484e+002
3.000000000000e+006    6.424339597129e+002
4.000000000000e+006    7.320664603862e+002
5.000000000000e+006    8.129803498361e+002
6.000000000000e+006    8.871221631383e+002
7.000000000000e+006    9.558557991733e+002
8.000000000000e+006    1.020166286507e+003
9.000000000000e+006    1.080784954424e+003
1.000000000000e+007    1.138268481335e+003
2.000000000000e+007    1.569762622333e+003
3.000000000000e+007    1.922518170305e+003
4.000000000000e+007    2.225924111313e+003
5.000000000000e+007    2.495386362868e+003
6.000000000000e+007    2.739900868924e+003
7.000000000000e+007    2.965167910150e+003
8.000000000000e+007    3.175032004182e+003
9.000000000000e+007    3.372214156986e+003
1.000000000000e+008    3.558714231390e+003
1.100000000000e+008    3.736046583941e+003
2.100000000000e+008    5.044203760262e+003
3.100000000000e+008    6.056665744829e+003
4.100000000000e+008    6.855421524656e+003
5.100000000000e+008    7.490286724332e+003
6.100000000000e+008    7.996336925580e+003
7.100000000000e+008    8.400152817972e+003
8.100000000000e+008    8.722524141617e+003
9.100000000000e+008    8.979918856411e+003
1.010000000000e+009    9.185446275153e+003
1.110000000000e+009    9.349562013131e+003
2.110000000000e+009    9.815381159582e+003
3.110000000000e+009    9.947598168977e+003
4.110000000000e+009    9.985126370684e+003
5.110000000000e+009    9.995778299187e+003
6.110000000000e+009    9.998801720992e+003
7.110000000000e+009    9.999659882914e+003
8.110000000000e+009    9.999903461857e+003
9.110000000000e+009    9.999972598810e+003
1.011000000000e+010    9.999992222503e+003
1.111000000000e+010    9.999997792453e+003
2.111000000000e+010    9.999999915845e+003
3.111000000000e+010    9.999999996794e+003
4.111000000000e+010    9.999999999880e+003
5.111000000000e+010    9.999999999997e+003
6.111000000000e+010    1.000000000000e+004
7.111000000000e+010    1.000000000000e+004
8.111000000000e+010    1.000000000000e+004
9.111000000000e+010    1.000000000000e+004
1.011100000000e+011    1.000000000000e+004
1.111100000000e+011    1.000000000000e+004
2.111100000000e+011    1.000000000000e+004
3.111100000000e+011    1.000000000000e+004
4.111100000000e+011    1.000000000000e+004
5.111100000000e+011    1.000000000000e+004
6.111100000000e+011    1.000000000000e+004
7.111100000000e+011    1.000000000000e+004
8.111100000000e+011    1.000000000000e+004
9.111100000000e+011    1.000000000000e+004
1.011110000000e+012    1.000000000000e+004
1.111110000000e+012    1.000000000000e+004
