TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    1.081559875456e-004         4.698525402513e-007
2.000000000000e+006    9.444292349049e-005         4.700938016535e-007
3.000000000000e+006    8.435932151001e-005         4.700945923694e-007
4.000000000000e+006    7.667645194229e-005         4.700945954582e-007
5.000000000000e+006    7.063931557274e-005         4.700945954586e-007
6.000000000000e+006    6.576791930356e-005         4.700945954586e-007
7.000000000000e+006    6.174731477310e-005         4.700945954586e-007
8.000000000000e+006    5.836465028015e-005         4.700945954586e-007
9.000000000000e+006    5.547204233127e-005         4.700945954586e-007
1.000000000000e+007    5.296407043063e-005         4.700945954586e-007
2.000000000000e+007    4.071916862545e-005         4.700945954586e-007
3.000000000000e+007    3.369248517982e-005         4.700945954586e-007
4.000000000000e+007    2.916175643682e-005         4.700945954586e-007
5.000000000000e+007    2.598706631776e-005         4.700945954586e-007
6.000000000000e+007    2.362477170520e-005         4.700945954586e-007
7.000000000000e+007    2.178699835464e-005         4.700945954586e-007
8.000000000000e+007    2.030797955374e-005         4.700945954586e-007
9.000000000000e+007    1.908559089051e-005         4.700945954586e-007
1.000000000000e+008    1.805335991422e-005         4.700945954586e-007
1.100000000000e+008    1.716602123685e-005         4.700945954586e-007
2.100000000000e+008    1.265843152838e-005         4.700945954586e-007
3.100000000000e+008    9.794933670658e-006         4.700945954586e-007
4.100000000000e+008    7.726685276573e-006         4.700945954586e-007
5.100000000000e+008    6.141054159598e-006         4.700945954586e-007
6.100000000000e+008    4.894946707513e-006         4.700945954586e-007
7.100000000000e+008    3.906024994032e-006         4.700945954586e-007
8.100000000000e+008    3.118221315505e-006         4.700945954586e-007
9.100000000000e+008    2.489715568402e-006         4.700945954586e-007
1.010000000000e+009    1.988015241748e-006         4.700945954586e-007
1.110000000000e+009    1.587450179416e-006         4.700945954586e-007
2.110000000000e+009    4.505750813652e-007         4.700945954586e-007
3.110000000000e+009    1.278901678149e-007         4.700945954586e-007
4.110000000000e+009    3.630007985766e-008         4.700945954586e-007
5.110000000000e+009    1.030334088734e-008         4.700945954586e-007
6.110000000000e+009    2.924479401449e-009         4.700945954586e-007
7.110000000000e+009    8.300783105651e-010         4.700945954586e-007
8.110000000000e+009    2.356077464773e-010         4.700945954586e-007
9.110000000000e+009    6.687442538853e-011         4.700945954586e-007
1.011000000000e+010    1.898150121665e-011         4.700945954586e-007
1.111000000000e+010    5.387670568360e-012         4.700945954586e-007
2.111000000000e+010    2.053904087316e-013         4.700945954586e-007
3.111000000000e+010    7.829877487116e-015         4.700945954586e-007
4.111000000000e+010    2.984182345678e-016         4.700945954586e-007
5.111000000000e+010    1.142963039028e-017         4.700945954586e-007
6.111000000000e+010    1.609245144548e-018         4.700945954586e-007
7.111000000000e+010    1.609245144548e-018         4.700945954586e-007
8.111000000000e+010    1.609245144548e-018         4.700945954586e-007
9.111000000000e+010    1.609245144548e-018         4.700945954586e-007
1.011100000000e+011    1.609245144548e-018         4.700945954586e-007
1.111100000000e+011    1.609245144548e-018         4.700945954586e-007
2.111100000000e+011    1.609245144548e-018         4.700945954586e-007
3.111100000000e+011    1.609245144548e-018         4.700945954586e-007
4.111100000000e+011    1.609245144548e-018         4.700945954586e-007
5.111100000000e+011    1.609245144548e-018         4.700945954586e-007
6.111100000000e+011    1.609245144548e-018         4.700945954586e-007
7.111100000000e+011    1.609245144548e-018         4.700945954586e-007
8.111100000000e+011    1.609245144548e-018         4.700945954586e-007
9.111100000000e+011    1.609245144548e-018         4.700945954586e-007
1.011110000000e+012    1.609245144548e-018         4.700945954586e-007
1.111110000000e+012    1.609245144548e-018         4.700945954586e-007
