TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    0.000000000000e+000         0.000000000000e+000
2.000000000000e+006    -3.845821925945e-009         2.130789807755e-012
3.000000000000e+006    1.299402167298e-008         -1.272052711331e-011
4.000000000000e+006    8.531928397398e-009         9.489373238938e-012
5.000000000000e+006    -1.600954386031e-008         3.112767542476e-011
6.000000000000e+006    -4.590216715071e-008         1.995389582655e-011
7.000000000000e+006    -6.567078045633e-008         -3.043656737676e-011
8.000000000000e+006    -6.360952444030e-008         -1.052760546633e-010
9.000000000000e+006    -3.260782260234e-008         -1.783343569099e-010
1.000000000000e+007    3.046534483143e-008         -2.200629302556e-010
2.000000000000e+007    1.926156661379e-006         7.772036621299e-009
3.000000000000e+007    3.898905625011e-006         2.152124237492e-008
4.000000000000e+007    5.541635500790e-006         3.796426098962e-008
5.000000000000e+007    6.793334155490e-006         5.511625540009e-008
6.000000000000e+007    7.705181179251e-006         7.191770974946e-008
7.000000000000e+007    8.349325882267e-006         8.787974828215e-008
8.000000000000e+007    8.790077680199e-006         1.028258949419e-007
9.000000000000e+007    9.077967469163e-006         1.167389221596e-007
1.000000000000e+008    9.250946603293e-006         1.296766555670e-007
1.100000000000e+008    9.337140733344e-006         1.417274236350e-007
2.100000000000e+008    8.202573873025e-006         2.216627507996e-007
3.100000000000e+008    6.773042536323e-006         2.802410802593e-007
4.100000000000e+008    5.475980419662e-006         3.253749398863e-007
5.100000000000e+008    4.393271008120e-006         3.609080982315e-007
6.100000000000e+008    3.514409829557e-006         3.891262682059e-007
7.100000000000e+008    2.808255989247e-006         4.116113300179e-007
8.100000000000e+008    2.243042382964e-006         4.295515212907e-007
9.100000000000e+008    1.791298685753e-006         4.438726836979e-007
1.010000000000e+009    1.430446486122e-006         4.553070783368e-007
1.110000000000e+009    1.142259834432e-006         4.644372756218e-007
2.110000000000e+009    3.242192520283e-007         4.903516171042e-007
3.110000000000e+009    9.202584304026e-008         4.977070650644e-007
4.110000000000e+009    2.612043346484e-008         4.997948194231e-007
5.110000000000e+009    7.413971132624e-009         5.003874033473e-007
6.110000000000e+009    2.104366561140e-009         5.005556011666e-007
7.110000000000e+009    5.972991436222e-010         5.006033420949e-007
8.110000000000e+009    1.695361793031e-010         5.006168927833e-007
9.110000000000e+009    4.812080566750e-011         5.006207389833e-007
1.011000000000e+010    1.365851185324e-011         5.006218306809e-007
1.111000000000e+010    3.876804255398e-012         5.006221405461e-007
2.111000000000e+010    1.477926558913e-013         5.006222586739e-007
3.111000000000e+010    5.634171370191e-015         5.006222631772e-007
4.111000000000e+010    2.147657052198e-016         5.006222633488e-007
5.111000000000e+010    8.233691506376e-018         5.006222633554e-007
6.111000000000e+010    1.182850114153e-018         5.006222633556e-007
7.111000000000e+010    1.182850114153e-018         5.006222633556e-007
8.111000000000e+010    1.182850114153e-018         5.006222633556e-007
9.111000000000e+010    1.182850114153e-018         5.006222633556e-007
1.011100000000e+011    1.182850114153e-018         5.006222633556e-007
1.111100000000e+011    1.182850114153e-018         5.006222633556e-007
2.111100000000e+011    1.182850114153e-018         5.006222633556e-007
3.111100000000e+011    1.182850114153e-018         5.006222633556e-007
4.111100000000e+011    1.182850114153e-018         5.006222633556e-007
5.111100000000e+011    1.182850114153e-018         5.006222633556e-007
6.111100000000e+011    1.182850114153e-018         5.006222633556e-007
7.111100000000e+011    1.182850114153e-018         5.006222633556e-007
8.111100000000e+011    1.182850114153e-018         5.006222633556e-007
9.111100000000e+011    1.182850114153e-018         5.006222633556e-007
1.011110000000e+012    1.182850114153e-018         5.006222633556e-007
1.111110000000e+012    1.182850114153e-018         5.006222633556e-007
