TIME                   DIFFUSION / DISPERSION FLUX             ADVECTION FLUX
1.000000000000e+006    0.000000000000e+000         0.000000000000e+000
2.000000000000e+006    4.515799830593e-016         1.171958334296e-018
3.000000000000e+006    -5.456866061069e-014         1.756692561857e-017
4.000000000000e+006    4.903109499237e-013         -2.905946752044e-016
5.000000000000e+006    -1.338616842835e-012         1.175228672562e-015
6.000000000000e+006    1.568884438927e-013         -1.098149833298e-015
7.000000000000e+006    2.897303334727e-012         -2.361401268646e-015
8.000000000000e+006    1.726579745987e-012         1.474679961892e-015
9.000000000000e+006    -3.910229794126e-012         6.437368730508e-015
1.000000000000e+007    -8.870008629063e-012         4.906156065765e-015
2.000000000000e+007    9.840730832583e-009         8.272209993072e-011
3.000000000000e+007    4.407158811981e-008         4.716039185280e-010
4.000000000000e+007    1.087035854925e-007         1.466743102728e-009
5.000000000000e+007    1.985199396131e-007         3.334499762582e-009
6.000000000000e+007    3.025254270807e-007         6.238860239802e-009
7.000000000000e+007    4.095458203388e-007         1.022995155876e-008
8.000000000000e+007    5.110799144266e-007         1.526646838195e-008
9.000000000000e+007    6.018894424550e-007         2.124800474394e-008
1.000000000000e+008    6.794810939025e-007         2.804398223789e-008
1.100000000000e+008    7.432856647239e-007         3.551470598074e-008
2.100000000000e+008    8.180214575225e-007         1.188212068509e-007
3.100000000000e+008    7.250537241999e-007         1.929358818544e-007
4.100000000000e+008    6.013883045163e-007         2.544902761276e-007
5.100000000000e+008    4.871409749379e-007         3.043754687570e-007
6.100000000000e+008    3.911184813277e-007         3.444350508637e-007
7.100000000000e+008    3.129684378761e-007         3.764925561307e-007
8.100000000000e+008    2.501118222110e-007         4.021123347913e-007
9.100000000000e+008    1.997809231352e-007         4.225767712742e-007
1.010000000000e+009    1.595481771939e-007         4.389200584237e-007
1.110000000000e+009    1.274084579739e-007         4.519711404756e-007
2.110000000000e+009    3.616421978849e-008         4.890159820482e-007
3.110000000000e+009    1.026481532249e-008         4.995307536157e-007
4.110000000000e+009    2.913545935542e-009         5.025152467307e-007
5.110000000000e+009    8.269750437140e-010         5.033623592830e-007
6.110000000000e+009    2.347269245597e-010         5.036028019975e-007
7.110000000000e+009    6.662441504023e-011         5.036710487708e-007
8.110000000000e+009    1.891053906557e-011         5.036904197967e-007
9.110000000000e+009    5.367529090407e-012         5.036959180295e-007
1.011000000000e+010    1.523508582601e-012         5.036974786367e-007
1.111000000000e+010    4.324295646100e-013         5.036979215964e-007
2.111000000000e+010    1.648521099721e-014         5.036980904627e-007
3.111000000000e+010    6.284505323547e-016         5.036980969003e-007
4.111000000000e+010    2.394866712348e-017         5.036980971457e-007
5.111000000000e+010    9.025188004349e-019         5.036980971551e-007
6.111000000000e+010    1.266348137463e-019         5.036980971554e-007
7.111000000000e+010    1.266348137463e-019         5.036980971554e-007
8.111000000000e+010    1.266348137463e-019         5.036980971554e-007
9.111000000000e+010    1.266348137463e-019         5.036980971554e-007
1.011100000000e+011    1.266348137463e-019         5.036980971554e-007
1.111100000000e+011    1.266348137463e-019         5.036980971554e-007
2.111100000000e+011    1.266348137463e-019         5.036980971554e-007
3.111100000000e+011    1.266348137463e-019         5.036980971554e-007
4.111100000000e+011    1.266348137463e-019         5.036980971554e-007
5.111100000000e+011    1.266348137463e-019         5.036980971554e-007
6.111100000000e+011    1.266348137463e-019         5.036980971554e-007
7.111100000000e+011    1.266348137463e-019         5.036980971554e-007
8.111100000000e+011    1.266348137463e-019         5.036980971554e-007
9.111100000000e+011    1.266348137463e-019         5.036980971554e-007
1.011110000000e+012    1.266348137463e-019         5.036980971554e-007
1.111110000000e+012    1.266348137463e-019         5.036980971554e-007
