                C(4)	                  Ca	                  Mg	                  Cl	                  pH	                  H+	                  pe	             Calcite	       Dolomite(dis)	
 1.000000000000e-010	 1.000000000000e-010	 1.000000000000e-003	 2.000000000000e-003	 6.945120697624e+000	 1.199194044226e-007	 8.176517143851e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.000000000000e-010	 1.000000000000e-010	 1.000000000000e-003	 2.000000000000e-003	 6.945120697624e+000	 1.199194044226e-007	 8.176517143851e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.464949227977e-008	 9.075541280019e-009	 1.000001534889e-003	 1.999991911414e-003	 6.976202558949e+000	 1.116368740147e-007	 8.165483997772e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.464949227977e-008	 9.075541280019e-009	 1.000001534889e-003	 1.999991911414e-003	 6.976202558949e+000	 1.116368740147e-007	 8.165483997772e+000	 0.000000000000e+000	 0.000000000000e+000	
 4.280668690333e-008	 2.637483482689e-008	 1.000004774729e-003	 1.999976658058e-003	 7.034314603218e+000	 9.765528613602e-008	-3.892310049993e+000	 0.000000000000e+000	 0.000000000000e+000	
 4.280518176062e-008	 2.637483482689e-008	 1.000004774729e-003	 1.999976658058e-003	 7.034316787365e+000	 9.765479501015e-008	-3.889083774128e+000	 0.000000000000e+000	 0.000000000000e+000	
 9.420779247711e-008	 5.775508010746e-008	 1.000011448324e-003	 1.999949939003e-003	 7.132295717643e+000	 7.793183584372e-008	-3.941083440672e+000	 0.000000000000e+000	 0.000000000000e+000	
 9.420668359630e-008	 5.775508010745e-008	 1.000011448324e-003	 1.999949939003e-003	 7.132297243350e+000	 7.793156206384e-008	-3.938103350855e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.846365031250e-007	 1.125150827359e-007	 1.000024873929e-003	 1.999905428249e-003	 7.278243165113e+000	 5.568881386835e-008	-4.151407168216e+000	 0.000000000000e+000	 0.000000000000e+000	
 1.846318187624e-007	 1.125150827359e-007	 1.000024873929e-003	 1.999905428249e-003	 7.278248708391e+000	 5.568810306713e-008	-4.141898765975e+000	 0.000000000000e+000	 0.000000000000e+000	
 3.397597829150e-007	 2.055617374985e-007	 1.000051253258e-003	 1.999834017576e-003	 7.465613865767e+000	 3.617413940959e-008	-4.286744550042e+000	 0.000000000000e+000	 0.000000000000e+000	
 3.397574140236e-007	 2.055617374985e-007	 1.000051253258e-003	 1.999834017576e-003	 7.465615975323e+000	 3.617396369634e-008	-4.280685914732e+000	 0.000000000000e+000	 0.000000000000e+000	
 6.010470758345e-007	 3.606370227365e-007	 1.000101882463e-003	 1.999722848392e-003	 7.676282912865e+000	 2.227054449510e-008	 8.020799866934e+000	 0.000000000000e+000	 0.000000000000e+000	
 6.010470758345e-007	 3.606370227365e-007	 1.000101882463e-003	 1.999722848392e-003	 7.676282912865e+000	 2.227054449510e-008	 8.020799866934e+000	 0.000000000000e+000	 0.000000000000e+000	
